Área,Competência Nº,Descrição da Competência,Código Habilidade,Descrição da Habilidade
"Linguagens, Códigos e suas Tecnologias",1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",H1,Identificar as diferentes linguagens e seus recursos expressivos como elementos de caracterização dos sistemas de comunicação.
"Linguagens, Códigos e suas Tecnologias",1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",H2,Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais.
"Linguagens, Códigos e suas Tecnologias",1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",H3,"Relacionar informações geradas nos sistemas de comunicação e informação, considerando a função social desses sistemas."
"Linguagens, Códigos e suas Tecnologias",1,"Aplicar as tecnologias da comunicação e da informação na escola, no trabalho e em outros contextos relevantes para sua vida.",H4,Reconhecer posições críticas aos usos sociais que são feitos das linguagens e dos sistemas de comunicação e informação.
"Linguagens, Códigos e suas Tecnologias",2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais*.,H5,Associar vocábulos e expressões de um texto em LEM ao seu tema.
"Linguagens, Códigos e suas Tecnologias",2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais*.,H6,"Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas."
"Linguagens, Códigos e suas Tecnologias",2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais*.,H7,"Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social."
"Linguagens, Códigos e suas Tecnologias",2,Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais*.,H8,Reconhecer a importância da produção cultural em LEM como representação da diversidade cultural e linguística.
"Linguagens, Códigos e suas Tecnologias",3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.",H9,Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social.
"Linguagens, Códigos e suas Tecnologias",3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.",H10,Reconhecer a necessidade de transformação de hábitos corporais em função das necessidades cinestésicas.
"Linguagens, Códigos e suas Tecnologias",3,"Compreender e usar a linguagem corporal como relevante para a própria vida, integradora social e formadora da identidade.",H11,"Reconhecer a linguagem corporal como meio de interação social, considerando os limites de desempenho e as alternativas de adaptação para diferentes indivíduos."
"Linguagens, Códigos e suas Tecnologias",4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,H12,"Reconhecer diferentes funções da arte, do trabalho da produção dos artistas em seus meios culturais."
"Linguagens, Códigos e suas Tecnologias",4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,H13,"Analisar as diversas produções artísticas como meio de explicar diferentes culturas, padrões de beleza e preconceitos."
"Linguagens, Códigos e suas Tecnologias",4,Compreender a arte como saber cultural e estético gerador de significação e integrador da organização do mundo e da própria identidade.,H14,Reconhecer o valor da diversidade artística e das inter-relações de elementos que se apresentam nas manifestações de vários grupos sociais e étnicos.
"Linguagens, Códigos e suas Tecnologias",5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização, estrutura das manifestações, de acordo com as condições de produção e recepção.",H15,"Estabelecer relações entre o texto literário e o momento de sua produção, situando aspectos do contexto histórico, social e político."
"Linguagens, Códigos e suas Tecnologias",5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização, estrutura das manifestações, de acordo com as condições de produção e recepção.",H16,Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário.
"Linguagens, Códigos e suas Tecnologias",5,"Analisar, interpretar e aplicar recursos expressivos das linguagens, relacionando textos com seus contextos, mediante a natureza, função, organização, estrutura das manifestações, de acordo com as condições de produção e recepção.",H17,Reconhecer a presença de valores sociais e humanos atualizáveis e permanentes no patrimônio literário nacional.
"Linguagens, Códigos e suas Tecnologias",6,"Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade pela constituição de significados, expressão, comunicação e informação.",H18,Identificar os elementos que concorrem para a progressão temática e para a organização e estruturação de textos de diferentes gêneros e tipos.
"Linguagens, Códigos e suas Tecnologias",6,"Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade pela constituição de significados, expressão, comunicação e informação.",H19,Analisar a função da linguagem predominante nos textos em situações específicas de interlocução.
"Linguagens, Códigos e suas Tecnologias",6,"Compreender e usar os sistemas simbólicos das diferentes linguagens como meios de organização cognitiva da realidade pela constituição de significados, expressão, comunicação e informação.",H20,Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional.
"Linguagens, Códigos e suas Tecnologias",7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,H21,"Reconhecer em textos de diferentes gêneros, recursos verbais e não-verbais utilizados com a finalidade de criar e mudar comportamentos e hábitos."
"Linguagens, Códigos e suas Tecnologias",7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,H22,"Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos."
"Linguagens, Códigos e suas Tecnologias",7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,H23,"Inferir em um texto quais são os objetivos de seu produtor e quem é seu público alvo, pela análise dos procedimentos argumentativos utilizados."
"Linguagens, Códigos e suas Tecnologias",7,Confrontar opiniões e pontos de vista sobre as diferentes linguagens e suas manifestações específicas.,H24,"Reconhecer no texto estratégias argumentativas empregadas para o convencimento do público, tais como a intimidação, sedução, comoção, chantagem, entre outras."
"Linguagens, Códigos e suas Tecnologias",8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.",H25,"Identificar, em textos de diferentes gêneros, as marcas linguísticas que singularizam as variedades linguísticas sociais, regionais e de registro."
"Linguagens, Códigos e suas Tecnologias",8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.",H26,Relacionar as variedades linguísticas a situações específicas de uso social.
"Linguagens, Códigos e suas Tecnologias",8,"Compreender e usar a língua portuguesa como língua materna, geradora de significação e integradora da organização do mundo e da própria identidade.",H27,Reconhecer os usos da norma padrão da língua portuguesa nas diferentes situações de comunicação.
"Linguagens, Códigos e suas Tecnologias",9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação na sua vida pessoal e social, no desenvolvimento do conhecimento, associando-o aos conhecimentos científicos, às linguagens que lhes dão suporte, às demais tecnologias, aos processos de produção e aos problemas que se propõem solucionar.",H28,Reconhecer a função e o impacto social das diferentes tecnologias da comunicação e informação.
"Linguagens, Códigos e suas Tecnologias",9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação na sua vida pessoal e social, no desenvolvimento do conhecimento, associando-o aos conhecimentos científicos, às linguagens que lhes dão suporte, às demais tecnologias, aos processos de produção e aos problemas que se propõem solucionar.",H29,"Identificar pela análise de suas linguagens, as tecnologias da comunicação e informação."
"Linguagens, Códigos e suas Tecnologias",9,"Entender os princípios, a natureza, a função e o impacto das tecnologias da comunicação e da informação na sua vida pessoal e social, no desenvolvimento do conhecimento, associando-o aos conhecimentos científicos, às linguagens que lhes dão suporte, às demais tecnologias, aos processos de produção e aos problemas que se propõem solucionar.",H30,Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento que elas produzem.
Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",H1,"Reconhecer, no contexto social, diferentes significados e representações dos números e operações - naturais, inteiros, racionais ou reais."
Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",H2,Identificar padrões numéricos ou princípios de contagem.
Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",H3,Resolver situação-problema envolvendo conhecimentos numéricos.
Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",H4,Avaliar a razoabilidade de um resultado numérico na construção de argumentos sobre afirmações quantitativas.
Matemática e suas Tecnologias,1,"Construir significados para os números naturais, inteiros, racionais e reais.",H5,Avaliar propostas de intervenção na realidade utilizando conhecimentos numéricos.
Matemática e suas Tecnologias,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,H6,Interpretar a localização e a movimentação de pessoas/objetos no espaço tridimensional e sua representação no espaço bidimensional.
Matemática e suas Tecnologias,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,H7,Identificar características de figuras planas ou espaciais.
Matemática e suas Tecnologias,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,H8,Resolver situação-problema que envolva conhecimentos geométricos de espaço e forma.
Matemática e suas Tecnologias,2,Utilizar o conhecimento geométrico para realizar a leitura e a representação da realidade e agir sobre ela.,H9,Utilizar conhecimentos geométricos de espaço e forma na seleção de argumentos propostos como solução de problemas do cotidiano.
Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,H10,Identificar relações entre grandezas e unidades de medida.
Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,H11,Utilizar a noção de escalas na leitura de representação de situação do cotidiano.
Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,H12,Resolver situação-problema que envolva medidas de grandezas.
Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,H13,Avaliar o resultado de uma medição na construção de um argumento consistente.
Matemática e suas Tecnologias,3,Construir noções de grandezas e medidas para a compreensão da realidade e a solução de problemas do cotidiano.,H14,Avaliar proposta de intervenção na realidade utilizando conhecimentos geométricos relacionados a grandezas e medidas.
Matemática e suas Tecnologias,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,H15,Identificar a relação de dependência entre grandezas.
Matemática e suas Tecnologias,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,H16,"Resolver situação-problema envolvendo a variação de grandezas, direta ou inversamente proporcionais."
Matemática e suas Tecnologias,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,H17,Analisar informações envolvendo a variação de grandezas como recurso para a construção de argumentação.
Matemática e suas Tecnologias,4,Construir noções de variação de grandezas para a compreensão da realidade e a solução de problemas do cotidiano.,H18,Avaliar propostas de intervenção na realidade envolvendo variação de grandezas.
Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",H19,Identificar representações algébricas que expressem a relação entre grandezas.
Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",H20,Interpretar gráfico cartesiano que represente relações entre grandezas.
Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",H21,Resolver situação-problema cuja modelagem envolva conhecimentos algébricos.
Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",H22,Utilizar conhecimentos algébricos/geométricos como recurso para a construção de argumentação.
Matemática e suas Tecnologias,5,"Modelar e resolver problemas que envolvem variáveis socioeconômicas ou técnico-científicas, usando representações algébricas.",H23,Avaliar propostas de intervenção na realidade utilizando conhecimentos algébricos.
Matemática e suas Tecnologias,6,"Interpretar informações de natureza científica e social obtidas da leitura de gráficos e tabelas, realizando previsão de tendência, extrapolação, interpolação e interpretação.",H24,Utilizar informações expressas em gráficos ou tabelas para fazer inferências.
