Unnamed: 0,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
389,190001082484,2019,2,M,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,509.0,514.0,518.0,392.4,543.9,552.7,572.0,CBBDCACBCDCEBACBBCBBACAACBDAADADCADBDDDECABCD,ACACAEDCDACCADCDBABCDECBAAAABABEADEEEEDBCABCB,CBBAD99999EACBCAEAEBEAADDABBDEAEDBBEBCCAABAEDBACEE,DDBBABCECDECCECCBCBCDCECABDBCCDBCBBCDCBDBDDDC,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,160.0,180.0,160.0,180.0,60.0,740.0,E,G,D,D,5,J,B,E,E,A,B,B,A,B,A,B,A,A,D,A,B,E,A,B,B
2621,190001084432,2019,4,M,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,503.0,509.0,514.0,515.0,413.9,427.8,464.1,410.4,AEEDBDABECBEBBBAEDBCCBADDBBEAAABEDCBEADCAEAAA,AB*ECCACAABCABABCADDAABAACCABCBCCBACBACAACDAB,AABBA99999ACCCCCAACBDCDECAEEDEEABCEDAAAAACACBABEBA,ACBBEACCACEBAAEABADABAAAAAACEBEABABABADABAABE,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,160.0,120.0,120.0,120.0,160.0,680.0,E,G,D,D,8,J,B,E,E,A,B,B,A,B,A,B,A,A,E,A,B,E,A,B,B
13407,190001084484,2019,5,F,1,1,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,503.0,509.0,514.0,515.0,491.1,402.9,542.2,468.7,CEEAAEDEDEBBACBBBCEADBBBABCEBBBEBCECDCCAABECC,ECBCCEBDDBCCEAEAADAADDCABBCEBEDCBEBACDDAAAEAC,EBBAB99999BACECBEBCBDADDCEACAEBBDBDDECEADCACDCBBCE,CEEBEADCAECEADBECBDCAABEDDADEBACCEBCEBDDEEECD,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,120.0,120.0,120.0,120.0,100.0,580.0,F,F,A,A,10,F,A,B,D,A,B,B,A,B,B,B,A,A,B,A,A,C,A,B,B
34292,190001086314,2019,2,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,508.0,512.0,518.0,442.8,516.7,546.6,517.4,AACCDDCBBDECADCCBEDBEBCBBAACEDBABCEADEDDCCCED,DBACABBECCCBCCABABECBADADAEBEABDDDCDCCCAAEEBC,99999BDAAADBABACEACECCBCCBAAAAEAEBADADBDECDECBCDBD,DDBCADACCDCBCBCEACBAACECEEBCEDACCBCBCEBDDCCEC,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,140.0,120.0,120.0,160.0,140.0,680.0,A,A,A,A,4,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
50063,190001068868,2019,3,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,506.0,510.0,513.0,517.0,422.1,454.0,455.3,419.5,ADADCBCEEEDABEBCEABAEEDBADBDAEACCAABCCBBDDAEA,EBACACEDBBAADBAADEAACAABEDBDCEDCDBBBADDADBDBE,AEBAC99999DBBCAACACCABEEBAEABCECECACDAABECCCEECCAB,CEACCAEEAEDAAEDCADEEAEEDECDCDBBADAAACDBBACCBA,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,100.0,120.0,80.0,100.0,80.0,480.0,E,E,F,D,3,B,A,C,D,A,B,B,A,B,A,A,A,A,B,B,A,D,A,C,B
53347,190001070396,2019,3,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,504.0,507.0,511.0,516.0,357.8,415.0,444.9,418.6,BBEACEAABACDAAECEACBDEBEEABADDDAABDDAABACEEEA,DCECDAAADAEBDABBECADDAEBDCABAACEBDBACBECBDECD,99999DCDDECDBDABECCDAAEEBBDAEEBECCCACDCABEACEECCAC,DAAEEACBDEDCBAECBCEBEBDCAAADAAEEABADCBCEADAAA,1,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,40.0,40.0,140.0,0.0,340.0,C,D,A,F,5,B,A,C,D,A,B,B,A,B,A,B,A,A,B,A,A,E,A,A,A
54464,190001078759,2019,5,M,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,D,E,A,B,4,B,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A
54837,190001078770,2019,3,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,506.0,510.0,513.0,517.0,364.2,481.9,481.8,554.7,EAEBDBDDDABABEDBBECBDBEECAEBCEAABBEDCCEADBBDE,CAADEEDCEAADABAAEEEAEEBEECCCEBCACABABEAADEDCE,99999BABEEDBCCBCECCEAEEDDDAECEEDEAACCADACBEEABCECA,DBABEDDBEBAAEBACAEBCDBBACECBDAADDEACBDBECBCAA,1,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,140.0,120.0,100.0,120.0,40.0,520.0,H,H,F,F,7,A,A,B,C,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A
56327,190001082616,2019,4,M,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,G,D,D,4,E,A,B,D,A,B,B,B,A,A,B,A,A,C,A,A,D,A,A,B
64455,190001087755,2019,2,M,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,504.0,507.0,511.0,516.0,433.5,438.0,458.7,433.8,DEDBBECBDDDCDEACDABAAEBBDCCBADBCADEBEBCACAEDB,EEBCEDADEBABAACDBABCECDABCCCBACABB*AACBAAAEDD,BBCEC99999ADDDBECCEBAAEBBDCCBECCDCEBEBAAADEEBDEACE,BADEABCDB*EAAACEABBBEDEDCABDBEBEEEDABABDADCDA,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,120.0,120.0,120.0,100.0,580.0,E,E,C,C,4,B,A,B,C,A,B,B,A,B,A,A,A,A,B,A,A,C,A,A,A
